,Unnamed: 0,word,label
938,1169,         boditi         ,location
30397,127068,          lads          ,other
15791,31921,      ayutuxtepeque     ,location
25129,75142,          jill          ,other
28539,106139,         binghi         ,other
23067,60604,        oversized       ,other
19318,41338,         reuters        ,other
2222,3182,         smirni         ,location
9849,24351,      headquartered     ,other
4385,7003,         ukmerge        ,location
27100,91669,         toubkal        ,other
831,1029,         filipe         ,location
3203,4838,         chhotu         ,person
23179,61326,         amounts        ,other
3323,5050,         kupang         ,location
11867,22699,         singlai        ,person
17213,34903,         payday         ,other
13507,26455,         ishmta         ,person
4734,7605,         baliuag        ,location
19080,40442,          seoul         ,other
4219,6643,          jedu          ,person
19862,43595,           von          ,other
16296,33116,          nefta         ,location
4700,7555,         badulla        ,location
16952,34370,        september       ,other
11583,34166,       invitation       ,other
1957,2720,        satyanara       ,person
3879,6048,          mapua         ,location
1070,1365,           az           ,location
10166,18917,         madina         ,person
22804,58757,          johal         ,other
11154,31524,          lake          ,other
2175,3063,        jifarong        ,location
9427,22304,          rush          ,other
1546,2093,          qareh         ,location
11684,34866,          taste         ,other
12269,23562,        batikent        ,location
8583,18516,       sentencing       ,other
19696,42928,         launch         ,other
29241,114075,       reefseekers      ,other
4955,8086,          shsi          ,person
11992,36768,       voluntarily      ,other
17349,35186,          power         ,other
7464,14243,        teenagers       ,other
7557,13278,         prakul         ,person
5822,9649,         sharply        ,other
5404,8965,          veer          ,person
4428,7071,         karima         ,person
28688,107769,        practical       ,other
2137,3059,        sahishta        ,person
32867,159323,          wwii          ,other
11321,21484,         pramil         ,person
3150,4764,         ruksin         ,person
15756,31849,         vihari         ,location
26440,86195,        teaspoon        ,other
30407,127210,  www dallascowboys com ,other
8416,17817,          aimed         ,other
29456,116351,         bearing        ,other
5995,10030,         growth         ,other
18025,36950,        correctly       ,other
4040,6342,          varna         ,location
32495,154242,     demonstrations     ,other
7061,12293,         aitape         ,location
4815,7776,      muzaffargarh      ,location
15804,31953,        harhorin        ,location
24666,71364,        colletti        ,other
28677,107672,       recaptured       ,other
1501,2002,          pappu         ,person
8730,15765,         abhinay        ,person
12395,39469,       permanently      ,other
18181,37391,           top          ,other
12444,23996,          iswer         ,person
17780,36283,          eggs          ,other
8757,15827,        shivyalam       ,person
2321,3303,         santna         ,person
14034,27744,        chadseena       ,person
15260,30643,          honey         ,person
17319,35109,         became         ,other
3469,5328,          dulal         ,person
22440,56428,        bloodshed       ,other
13091,25522,          oral          ,location
19401,41650,        tailored        ,other
18963,39974,         capital        ,other
27458,95276,       relegation       ,other
3006,4511,        sarbjeet        ,person
26424,86033,         rapper         ,other
5353,8737,         simply         ,other
19495,42052,      acknowledges      ,other
739,918,          kallu         ,person
32598,155627,        arrowhead       ,other
6114,10302,          door          ,other
9440,22368,        container       ,other
11390,32943,         vikings        ,other
6275,10687,         shabina        ,person
31814,144842,        rendition       ,other
4042,6345,        zaragoza        ,location
13494,26424,         phaeton        ,location
21200,49665,        attorney        ,other
10289,26567,        stumbling       ,other
11407,21660,          sanam         ,person
833,1031,         tanjeem        ,person
14031,27737,       samborondon      ,location
2873,4249,        bhagwati        ,person
1279,1663,         laltesh        ,person
17310,35090,          beach         ,other
13357,26128,         mehandi        ,person
27788,98411,        proponent       ,other
2241,3218,         kuntal         ,person
5619,9401,          cesky         ,location
4756,7701,         pramal         ,person
5680,9358,         serious        ,other
29385,115556,        guerrero        ,other
3079,4625,         belarus        ,country
21557,51414,         marking        ,other
7211,13376,         wicket         ,other
10762,29331,         critic         ,other
3090,4648,         sadhna         ,person
5046,8251,         sendafa        ,location
17087,34648,        dolphins        ,other
6433,11028,         kalakh         ,location
22665,57905,         juneja         ,other
1824,2506,         shasina        ,person
4699,7554,          nahar         ,person
15607,31480,         helens         ,location
8552,18393,         setting        ,other
17403,35299,          left          ,other
31346,138789,          minus         ,other
160,177,          river         ,location
25233,75783,         examine        ,other
4093,6449,         maringa        ,location
24968,73953,       businessman      ,other
5757,9524,          gray          ,other
11380,32898,         ballots        ,other
10950,30351,        channeled       ,other
4300,6838,         iecava         ,location
943,1176,          fara          ,person
7231,12619,         neeshu         ,person
6381,10971,        problems        ,other
25598,78647,        smashing        ,other
11673,22254,        chatarjee       ,person
9134,16671,         veejita        ,person
1247,1617,         kossovo        ,location
4895,7949,        raisuddin       ,person
24253,68382,         salmon         ,other
10074,25498,         capable        ,other
8968,20167,          fair          ,other
2325,3309,        ramvilash       ,person
6136,10350,          push          ,other
883,1097,         kaushar        ,person
6700,11825,        candidacy       ,other
13972,27603,        indervesh       ,person
23545,63534,        adoptions       ,other
1009,1269,         sang e         ,location
22571,57307,          bomb          ,other
22353,55804,        creating        ,other
7627,13418,        ramsurat        ,person
3243,4920,        farhanaaz       ,person
4159,6538,          aged          ,person
14231,28229,        panadura        ,location
22641,57730,          qatar         ,other
26973,90684,         coburn         ,other
3304,5014,          ishan         ,person
2580,3775,        essaouira       ,location
24491,70180,        fortnight       ,other
12109,23205,        traiguen        ,location
20979,48554,          units         ,other
1023,1303,         aneeta         ,person
14059,27811,          marta         ,location
8296,17277,         reduce         ,other
15222,30566,          gollu         ,person
18619,38752,         medway         ,other
11825,35667,          trick         ,other
5499,8995,        increased       ,other
13856,27338,        shafibul        ,person
21850,53006,        checking        ,other
4997,8156,          ashma         ,person
29105,112510,       reminiscent      ,other
18219,37477,         county         ,other
14586,29076,         muttun         ,person
4266,6724,          ayia          ,location
12765,24780,        pravindra       ,person
19475,41982,         tehran         ,other
17754,36221,          bank          ,other
18533,38483,        recession       ,other
4566,7354,        arunkumar       ,person
31616,142339,        arquette        ,other
972,1236,        divyansh        ,person
29728,119163,         gazans         ,other
25500,77887,          scalp         ,other
15167,30439,       rosanjahan       ,person
31240,137394,        airliners       ,other
12380,39353,         adults         ,other
13598,26671,          peng          ,location
11767,35281,         cheaper        ,other
21537,51335,        organovo        ,other
11742,35181,         beleive        ,other
15010,30055,          uppal         ,person
28470,105563,          upper         ,other
32566,155124,       dogfighting      ,other
18078,37095,        capitals        ,other
28379,104579,         maasai         ,other
10040,18621,          tunas         ,location
22342,55741,       keratoconus      ,other
16400,33386,         bhuniya        ,person
7949,14092,           an           ,person
8771,19331,         madoff         ,other
6835,11823,          duren         ,location
16478,33553,          vill          ,person
4956,8070,         madhwal        ,person
2700,3977,          debar         ,location
30097,123309,      embarrassment     ,other
20530,46485,         divides        ,other
4144,6552,       benin city       ,location
28234,102969,        carefully       ,other
2875,4251,          genk          ,location
31835,145156,          nobuo         ,other
10217,26267,          blown         ,other
8546,15340,         mother         ,person
17158,34789,         coming         ,other
2219,3131,          bhatt         ,person
9266,21610,          hopes         ,other
15318,30782,        adliswil        ,location
951,1208,         gurjar         ,person
10321,26776,         elected        ,other
6802,12101,       convention       ,other
17640,35884,           u s          ,other
1849,2542,          nancy         ,person
4137,6499,         kavala         ,location
18444,38177,          alive         ,other
2322,3348,         mahjabi        ,person
4052,6339,          kawar         ,person
8966,20160,         florida        ,other
1716,2339,        ravinder        ,person
32075,148266,        cingular        ,other
22738,58379,       aspergillus      ,other
6828,12162,        dispatch        ,other
26824,89358,        buchholz        ,other
8222,16989,       speculation      ,other
22405,56191,       accelerate       ,other
4192,6643,         lilaki         ,person
31418,139826,       homosexual       ,other
1850,2556,          soren         ,person
11586,34198,          hanks         ,other
2018,2853,         guichon        ,location
7370,12892,         france         ,location
11113,31313,         campos         ,other
3962,6201,         pranak         ,person
29373,115451,         jeanice        ,other
364,420,          joshi         ,person
7572,14554,         perhaps        ,other
12435,23977,          sioni         ,location
30310,126106,         bermuda        ,other
19352,41473,       supporters       ,other
3998,6262,          tasek         ,location
30444,127695,       montgomery       ,other
23831,65333,        baffling        ,other
22450,56514,        cultural        ,other
12807,24871,        eochaill        ,location
10805,20279,        sankarlal       ,person
17167,34816,         passed         ,other
10813,29631,        bulgarian       ,other
23068,60605,       humiliated       ,other
5082,8329,          menu          ,person
1432,1911,      sensuntepeque     ,location
9251,21548,          edge          ,other
7600,14653,         comcast        ,other
23398,62685,        hostility       ,other
28438,105152,         shrank         ,other
22296,55492,       effectively      ,other
18974,40026,        sebastian       ,other
30930,133685,        brokerage       ,other
16525,33649,          colon         ,location
26896,90069,       approaching      ,other
11725,35126,        syndicate       ,other
14192,28127,          mula          ,person
26397,85830,         remind         ,other
6147,10443,          salah         ,location
24718,71775,          fresh         ,other
1785,2459,        teluknaga       ,location
24128,67448,          jeou          ,other
14157,28023,        meanchey        ,location
27449,95155,           oas          ,other
13041,25405,         ljungby        ,location
6789,11724,        sevlievo        ,location
6456,11067,          yogi          ,person
3907,6099,         sarande        ,location
11191,21209,        hamsiran        ,person
10156,18892,       uagant axra      ,person
12008,36852,        clunkers        ,other
27721,97828,       vegetables       ,other
21191,49617,          espn          ,other
28007,100631,         lessig         ,other
12017,36922,        targeting       ,other
19267,41133,      neighborhoods     ,other
13541,26527,          ramli         ,person
2716,4003,         mustkim        ,person
4213,6684,        gilbahar        ,person
8019,16225,        centuries       ,other
6588,11323,       niquinohomo      ,location
12278,38638,         monster        ,other
29497,116694,          bint          ,other
21781,52572,        reinforce       ,other
28255,103237,          bible         ,other
11177,21173,          sanaa         ,location
15017,30073,        richaraj        ,person
4830,7833,        anandwati       ,person
6129,10404,          audru         ,location
10783,20240,         masoom         ,person
23963,66354,       overseeing       ,other
7548,13261,          bako          ,location
8620,15503,        sabanilla       ,location
30908,133469,        maldives        ,other
31882,145841,         delayed        ,other
10346,19309,         uganda         ,country
9157,21161,         dieting        ,other
6724,11587,       saharanpur       ,location
4568,7358,        havlickuv       ,location
809,1024,        satyender       ,person
18529,38470,         method         ,other
21296,50152,          karen         ,other
8243,14716,          mvuma         ,location
10849,29811,         studded        ,other
5807,9623,          quirk         ,other
17022,34520,          yeah          ,other
19560,42324,         marquez        ,other
30308,126071,         harmful        ,other
12013,36904,       constraints      ,other
11801,35539,          pika          ,other
1161,1506,        lagodekhi       ,location
31289,138033,          blunt         ,other
23950,66246,        transport       ,other
13130,25624,         ribnica        ,location
12242,23503,          kudat         ,location
5228,8581,         wiliyam        ,person
20612,46816,          teams         ,other
26797,89174,         silicon        ,other
4595,7361,        adhikari        ,person
27013,91000,         nobody         ,other
21755,52432,        adjourned       ,other
8059,14332,          sanha         ,person
9591,23076,          vols          ,other
1237,1603,        molfetta        ,location
17372,35233,         attempt        ,other
11524,33796,       disability       ,other
10686,20048,          jalmi         ,person
16847,34193,          your          ,other
1140,1473,          gauri         ,person
7596,13355,          yusuf         ,person
8958,20133,       kardashian       ,other
2194,3136,          lakki         ,person
7365,12882,          moya          ,location
13908,27447,          premo         ,person
489,582,          ratan         ,person
31808,144811,       exquisitely      ,other
3764,5839,        toamasina       ,location
433,512,           two          ,person
17000,34477,         desire         ,other
17348,35183,          given         ,other
19535,42230,      conversations     ,other
9820,24211,          ahern         ,other
25402,77006,     teleconference     ,other
9024,20446,       wirelessly       ,other
17466,35439,       spokeswoman      ,other
28711,108054,        villinos        ,other
23669,64276,          capt          ,other
12016,36920,        sponsored       ,other
3733,5780,         shamina        ,person
5455,9048,         sartaj         ,person
16893,34266,          about         ,other
3728,5772,         itzapa         ,location
31205,136972,          rhys          ,other
7013,12202,         gaffar         ,person
10878,29961,          lives         ,other
12222,38274,       celebrates       ,other
2470,3598,         mehbob         ,person
30531,128793,         tended         ,other
3744,5796,          salin         ,person
8702,19043,       fortunately      ,other
6550,11413,          obama         ,other
30658,130493,        arkansas        ,other
9969,18464,          kadan         ,location
7838,15527,       candidates       ,other
7059,12291,        baquerizo       ,location
2395,3461,         balakan        ,location
17591,35773,        february        ,other
14954,29916,          jassu         ,person
5313,8754,         gitali         ,person
4649,7462,          bansi         ,person
28521,105908,        grapples        ,other
1335,1757,          heena         ,person
11826,22599,         george         ,location
18957,39960,       repechages       ,other
6986,12633,         emerged        ,other
24040,66803,         pinsky         ,other
10678,20031,        chandara        ,person
8726,15760,         tamanna        ,person
8230,17032,        assuming        ,other
4237,6673,         saidas         ,person
11719,22347,        tsaghveri       ,location
30239,125191,          apes          ,other
14493,28872,       tsalenjikha      ,location
18743,39180,       mercantile       ,other
1661,2258,         nikahat        ,person
20946,48435,          canon         ,other
12317,23677,        ataullah        ,person
6247,10605,          sanaa         ,other
26576,87345,      deteriorating     ,other
3093,4657,          wadi          ,location
5813,9633,         spinoff        ,other
17881,36541,         focused        ,other
28479,105671,          prey          ,other
29803,119966,       investigate      ,other
32338,151897,        senseless       ,other
8230,14698,         merida         ,location
20588,46699,         freezes        ,other
11284,32304,       immigration      ,other
26150,83338,         amalric        ,other
29004,111476,         inertia        ,other
28716,108135,          swfs          ,other
11936,36458,         receded        ,other
138,152,        lawrence        ,person
10492,19617,        sugathan        ,person
24972,73973,          drops         ,other
21718,52253,www passiveagressivenotes com,other
15168,30441,         mutuali        ,location
15119,30322,         bachcha        ,person
8385,17676,         suffer         ,other
6076,10215,          hall          ,other
8760,19289,          damon         ,other
26620,87671,         laughs         ,other
1898,2622,        bouznika        ,location
7297,13649,         classic        ,other
11330,32575,          troop         ,other
2816,4192,          amita         ,person
6467,11082,         kamreen        ,person
961,1203,           bu           ,location
2381,3435,          aman          ,person
4229,6661,        jenjarum        ,location
1434,1899,        namanyere       ,location
1242,1609,         avatar         ,person
27518,95902,          gates         ,other
5824,9651,       greenhouse       ,other
19840,43507,         rovers         ,other
24407,69534,        offstage        ,other
29448,116290,          forty         ,other
9951,24849,           guy          ,other
31567,141659,         conrad         ,other
11285,21410,         nikkhar        ,person
9942,24809,          butch         ,other
5695,9387,        intended        ,other
7063,12878,          float         ,other
10997,30634,          byrd          ,other
18662,38914,         meaning        ,other
3108,4677,        louviere        ,location
9175,16771,          arbaj         ,person
18992,40084,        smuggled        ,other
2285,3297,        esmeralda       ,location
11300,32399,         vitter         ,other
30247,125267,       defaulting       ,other
7056,12286,        afragola        ,location
14475,28826,          more          ,person
8505,15256,          siya          ,person
646,796,         sidarth        ,person
23186,61367,        salaries        ,other
2934,4350,         naogaon        ,location
11934,36441,          biden         ,other
15883,32149,        surajmal        ,person
24905,73510,          blair         ,other
5456,8921,           its          ,other
11290,32359,         defects        ,other
11462,21779,         killing        ,location
25480,77736,          baron         ,other
19853,43558,         couldn         ,other
1175,1511,          babbu         ,person
3094,4658,      constitucion      ,location
11129,31397,        scariest        ,other
11452,21759,       purwakarta       ,location
29614,117920,         stemmed        ,other
5527,9050,          lack          ,other
10947,20634,         struer         ,location
5100,8361,         pramood        ,person
29759,119511,         startup        ,other
15137,30359,       greystones       ,location
13471,26379,          selea         ,location
18132,37249,         houston        ,other
6217,10527,         motors         ,other
10752,20188,         kralove        ,location
2003,2826,        mindresti       ,location
21379,50502,        portrait        ,other
19139,40646,         coolly         ,other
8603,15462,          kose          ,person
27194,92694,          poky          ,other
11253,21337,         jinzhou        ,location
29313,114948,           wa           ,other
9531,17552,         machida        ,location
5345,8825,         golema         ,location
529,633,         esteli         ,location
3001,4468,          junl          ,person
7953,14098,         gajala         ,person
568,458,srk,person
